range_m,seed,path,analytical_delay_samples,measured_delay_samples,residual_samples,xcorr_peak
550.0,1,direct,0.000,0.000,0.000,1.0000
550.0,1,surface,5939.887,5948.000,8.113,0.8283
550.0,1,bottom,1682.314,1682.000,0.314,0.6969
350.0,1,direct,0.000,0.000,0.000,1.0000
350.0,1,surface,9078.422,9078.000,0.422,0.8012
350.0,1,bottom,2610.943,2611.000,0.057,0.6865
650.0,0,direct,0.000,0.000,0.000,1.0000
650.0,0,surface,5054.321,5046.000,8.321,0.8368
650.0,0,bottom,1426.983,1427.000,0.017,0.6995
650.0,2,direct,0.000,0.000,0.000,1.0000
650.0,2,surface,5054.321,5046.000,8.321,0.8323
650.0,2,bottom,1426.983,1427.000,0.017,0.6994
900.0,1,direct,0.000,0.000,0.000,1.0000
900.0,1,surface,3675.520,3667.000,8.520,0.8630
900.0,1,bottom,1033.662,1033.000,0.662,0.7131
750.0,2,direct,0.000,0.000,0.000,1.0000
750.0,2,surface,4396.036,4404.000,7.964,0.8497
750.0,2,bottom,1238.627,1238.000,0.627,0.7008
250.0,0,direct,0.000,0.000,0.000,1.0000
250.0,0,surface,12198.873,12199.000,0.127,0.7524
250.0,0,bottom,3585.210,3585.000,0.210,0.6730
200.0,1,direct,0.000,0.000,0.000,1.0000
200.0,1,surface,14614.906,14615.000,0.094,0.7098
200.0,1,bottom,4387.280,4387.000,0.280,0.6743
600.0,1,direct,0.000,0.000,0.000,1.0000
600.0,1,surface,5462.038,5470.000,7.962,0.8286
600.0,1,bottom,1544.241,1544.000,0.241,0.6993
350.0,0,direct,0.000,0.000,0.000,1.0000
350.0,0,surface,9078.422,9078.000,0.422,0.8028
350.0,0,bottom,2610.943,2611.000,0.057,0.6874
450.0,1,direct,0.000,0.000,0.000,1.0000
450.0,1,surface,7190.797,7182.000,8.797,0.8225
450.0,1,bottom,2047.500,2047.000,0.500,0.7023
250.0,2,direct,0.000,0.000,0.000,1.0000
250.0,2,surface,12198.873,12199.000,0.127,0.7519
250.0,2,bottom,3585.210,3585.000,0.210,0.6721
700.0,1,direct,0.000,0.000,0.000,1.0000
700.0,1,surface,4702.537,4694.000,8.537,0.8425
700.0,1,bottom,1326.186,1326.000,0.186,0.7026
950.0,0,direct,0.000,0.000,0.000,1.0000
950.0,0,surface,3484.775,3493.000,8.225,0.8545
950.0,0,bottom,979.585,979.000,0.585,0.6900
450.0,0,direct,0.000,0.000,0.000,1.0000
